,row_1,row_2,correct,incorrect,newrow1,newrow2
18885352,1996,4191,19,33,1997,4192
3385748,328,9481,22,33,329,9482
31992703,3720,10004,21,33,3721,10005
5437253,533,5451,14,33,534,5452
35055145,4191,10004,13,33,4192,10005
54361263,9647,10066,18,33,9648,10067
31913575,3709,5049,24,33,3710,5050
42702854,5562,6162,23,33,5563,6163
54361035,9647,9838,14,33,9648,9839
46368390,6378,9898,18,33,6379,9899
50779435,7661,9989,23,33,7662,9990
34801883,4151,8202,13,33,4152,8203
38693538,4802,6226,23,33,4803,6227
45461760,6162,7768,22,33,6163,7769
46449948,6398,10066,25,33,6399,10067
53366548,8831,9647,22,33,8832,9648
48402691,6912,8324,20,33,6913,8325
24747450,2719,9989,24,33,2720,9990
15564379,1612,6162,24,33,1613,6163
54066370,9341,10004,18,33,9342,10005
30843065,3552,6378,16,33,3553,6379
51078858,7771,7847,20,33,7772,7848
45461630,6162,7638,23,32,6163,7639
30353387,3481,9511,21,32,3482,9512
53961478,9251,9647,14,32,9252,9648
46368330,6378,9838,11,32,6379,9839
5435993,533,4191,16,32,534,4192
35583828,4276,9647,24,32,4277,9648
54197597,9466,9481,22,32,9467,9482
53630059,9002,9647,22,32,9003,9648
30388393,3486,9647,25,32,3487,9648
33083365,3884,9164,13,32,3885,9165
9350710,935,10061,17,32,936,10062
54497828,9838,10066,14,32,9839,10067
24747359,2719,9898,23,32,2720,9899
30349635,3481,5759,28,32,3482,5760
19420943,2059,8692,22,32,2060,8693
