,row_1,row_2,correct,incorrect,newrow1,newrow2
2570691,260,3322,70,2,261,3323
20829141,2360,3322,70,1,2361,3323
32275816,4042,6510,70,1,4043,6511
20832611,2360,6792,70,2,2361,6793
24254862,2822,4006,70,4,2823,4007
1214560,122,1454,70,2,123,1455
2574161,260,6792,70,2,261,6793
22975254,2646,4006,70,2,2647,4007
20833420,2360,7601,70,1,2361,7602
13493490,1454,4006,70,1,1455,4007
4617241,472,6510,70,1,473,6511
32060800,4006,6792,69,4,4007,6793
6573096,680,1237,69,2,681,1238
2568619,260,1250,69,0,261,1251
20829493,2360,3674,69,1,2361,3675
2570948,260,3579,69,1,261,3580
16464721,1809,2822,69,3,1810,2823
32060518,4006,6510,69,0,4007,6511
2574313,260,6944,69,1,261,6945
26233664,3103,4006,69,3,3104,4007
13492587,1454,3103,69,4,1455,3104
1217148,122,4042,69,0,123,4043
2570714,260,3345,69,2,261,3346
1220707,122,7601,69,0,123,7602
2570637,260,3268,69,2,261,3269
1218457,122,5351,69,2,123,5352
32058451,4006,4443,69,3,4007,4444
1213578,122,472,69,2,123,473
2568057,260,688,69,2,261,689
1686574,170,260,69,3,171,261
16468691,1809,6792,69,3,1810,6793
1216630,122,3524,69,2,123,3525
2572927,260,5558,69,3,261,5559
1213786,122,680,68,4,123,681
20830569,2360,4750,68,1,2361,4751
13494835,1454,5351,68,2,1455,5352
20829164,2360,3345,68,0,2361,3346
6573313,680,1454,68,2,681,1455
1688674,170,2360,68,1,171,2361
13491293,1454,1809,68,0,1455,1810
4616082,472,5351,68,3,473,5352
27054644,3223,4006,68,1,3224,4007
20829042,2360,3223,68,2,2361,3224
1217549,122,4443,68,1,123,4444
1214343,122,1237,68,1,123,1238
20832763,2360,6944,68,0,2361,6945
2572119,260,4750,68,4,261,4751
32061413,4006,7405,68,1,4007,7406
26671241,3166,8773,21,44,3167,8774
26667996,3166,5528,20,41,3167,5529
40034256,5528,8773,18,41,5529,8774
26668986,3166,6518,21,40,3167,6519
40032001,5528,6518,19,39,5529,6519
38899534,5282,5528,19,38,5283,5529
23121384,2666,3166,20,38,2667,3167
26672081,3166,9613,20,38,3167,9614
38903619,5282,9613,23,38,5283,9614
43975941,6518,8773,20,38,6519,8774
25271716,2965,3987,35,37,2966,3988
16609851,1826,8773,14,36,1827,8774
38902779,5282,8773,20,36,5283,8774
38900524,5282,6518,23,36,5283,6519
30223808,3707,8052,39,36,3708,8053
43976781,6518,9613,20,36,6519,9614
26667750,3166,5282,21,36,3167,5283
16604244,1826,3166,13,35,1827,3167
16606360,1826,5282,15,35,1827,5283
31405380,3898,5042,19,35,3899,5043
16606606,1826,5528,13,34,1827,5529
32268189,4041,4846,23,34,4042,4847
26668466,3166,5998,21,34,3167,5999
16610691,1826,9613,14,33,1827,9614
31409306,3898,8968,20,33,3899,8969
9943014,1048,7451,28,33,1049,7452
35508765,4611,8677,21,33,4612,8678
49296326,8773,9613,17,32,8774,9614
20094906,2264,7567,21,32,2265,7568
33175146,4195,5282,21,32,4196,5283
1558950,157,569,16,32,158,570
32300715,4046,7567,19,32,4047,7568
16607596,1826,6518,14,32,1827,6519
16605273,1826,4195,19,31,1827,4196
40035096,5528,9613,16,31,5529,9614
32302764,4046,9616,20,31,4047,9617
32302531,4046,9383,19,31,4047,9384
20091385,2264,4046,19,31,2265,4047
23126991,2666,8773,19,31,2667,8774
9945179,1048,9616,25,31,1049,9617
42028601,5998,9613,25,31,5999,9614
36150045,4731,9937,17,31,4732,9938
23123746,2666,5528,16,31,2667,5529
26667028,3166,4560,18,31,3167,4561
23123500,2666,5282,22,31,2667,5283
26666663,3166,4195,20,31,3167,4196
9789723,1031,6565,13,31,1032,6566
23127831,2666,9613,22,31,2667,9614
46794444,7451,9616,24,31,7452,9617
33175392,4195,5528,20,31,4196,5529
26200157,3098,5019,24,30,3099,5020
7035560,729,8001,14,30,730,8002
23597154,2731,4046,15,30,2732,4047
24094632,2799,9238,18,30,2800,9239
45410058,6957,8677,16,30,6958,8678
32302405,4046,9257,12,30,4047,9258
37998618,5095,5204,22,30,5096,5205
41874087,5960,8068,20,30,5961,8069
14296524,1548,7711,16,30,1549,7712
34626341,4450,7567,25,30,4451,7568
3702042,377,1411,21,30,378,1412
16603744,1826,2666,15,30,1827,2667
11121793,1181,3860,17,30,1182,3861
48693755,8355,9171,21,30,8356,9172
33768183,4298,5245,23,30,4299,5246
9939609,1048,4046,13,30,1049,4047
38726923,5245,8334,26,30,5246,8335
44822966,6770,8952,18,30,6771,8953
40609842,5659,6518,20,30,5660,6519
20240566,2283,6338,22,30,2284,6339
32297252,4046,4104,17,30,4047,4105
20096722,2264,9383,21,30,2265,9384
20619449,2332,8068,18,30,2333,8069
19491022,2187,2666,20,30,2188,2667
19790460,2225,5761,19,30,2226,5762
3710511,377,9880,19,30,378,9881
3446266,350,5942,24,30,351,5943
438006,43,8738,11,30,44,8739
25143149,2946,9351,17,30,2947,9352
16609725,1826,8647,15,30,1827,8648
36746304,4846,6356,24,30,4847,6357
9943130,1048,7567,20,30,1049,7568
17418920,1926,4992,20,30,1927,4993
7030642,729,3083,17,30,730,3084
16605638,1826,4560,14,30,1827,4561
26668284,3166,5816,20,30,3167,5817
26667977,3166,5509,22,29,3167,5510
3708828,377,8197,19,29,378,8198
810785,81,3702,14,29,82,3703
42221197,6047,7091,16,29,6048,7092
3418123,347,6767,25,29,348,6768
46957,4,6948,15,29,5,6949
19491522,2187,3166,18,29,2188,3167
15688251,1714,9437,16,29,1715,9438
45491471,6984,8172,20,29,6985,8173
29234895,3552,7264,23,29,3553,7265
31704182,3947,5826,18,29,3948,5827
48095412,8025,9613,19,29,8026,9614
33176382,4195,6518,23,29,4196,6519
44137871,6565,7942,15,29,6566,7943
